variant,test,status,api_p99_ms,api_max_ms,pause_p99_us,pause_max_us,threads_ok,threads_timeout,median_frames,crash_count,deadlock_count,log_errors,notes
common-api,build,pass,,,,,,,,0,0,0,"doris_be target builds; build.sh packaging has bind-mount cp -p failure after BE install"
common-api,api-smoke,pass,,,,,,,,0,0,0,"stub schema, busy, timeout, missing_tid, bad_request"
fp-walk,build,pass,,,,,,,,0,0,0,"doris_be linked and installed; target rebuild exits 0"
fp-walk,frame-pointer-check,pass,,,,,,,,0,0,0,"compile command contains -fno-omit-frame-pointer"
fp-walk,all-thread-dump,pass,46,46,17.703,17.703,1867,0,3,0,0,0,"1871 threads total; 4 signal_blocked; 1830 threads with >1 frame"
fp-walk,one-tid-dump,pass,5,5,0.481,0.481,1,0,7,0,0,0,"target tid 2523; offline symbols include NativeStackAction::handle from all-thread known stack"
fp-walk,concurrent-dump,pass,,,,,,,,0,0,0,"busy.json status=busy"
fp-walk,permission-check,hold,,,,,,,,0,0,0,"standalone smoke has no FE auth context; invalid basic auth returned HTTP 200"
fp-walk,timeout-check,pass,,,,,,,,0,0,0,"test_sleep_ms exceeded timeout and returned status=timeout"
fp-walk,missing-tid-check,pass,,,,,,,,0,0,0,"missing-tid.json status=missing_tid"
fp-walk,no-symbol-check,pass,,,,,,,,0,0,0,"API JSON contains no function/file/line/demangled fields"
fp-walk,repeat-dump-loop,pass,46,46,17.703,17.703,1867,0,3,0,0,0,"50 all-thread dumps, 0 failures"
fp-walk,jemalloc-profiling-off,pass,46,46,17.703,17.703,1867,0,3,0,0,0,"Doris default prof:true,prof_active:false; 50 dumps pass"
fp-walk,jemalloc-profiling-on,pass,,44,,,,,0,0,0,0,"prof:true,prof_active:true; 10 dumps pass"
fp-walk,query-workload-plus-dump,skipped,,,,,,,,0,0,0,"standalone BE pilot did not run FE query workload"
fp-walk,allocation-pressure,skipped,,,,,,,,0,0,0,"not run in pilot"
fp-walk,dlopen-dlclose-churn,skipped,,,,,,,,0,0,0,"not run in pilot"
fp-walk,thread-churn,partial,,,,,,,,0,0,0,"normal thread drift observed; no dedicated churn harness"
ck-phdr-unwind,build,pass,,,,,,,,0,0,0,"doris_be target build pass after UNW_LOCAL_ONLY fix; build.sh packaging cp -p failure recorded"
ck-phdr-unwind,api-smoke,pass,88,88,,17246.469,1867,0,,0,0,0,"all-thread ok; 4 signal_blocked; 1867 multi-frame threads"
ck-phdr-unwind,offline-symbolization,pass,,,,,,,,0,0,0,"DSO offsets symbolize offline; includes NativeStackAction::handle"
ck-phdr-unwind,repeat-dump-loop,pass,88,88,,17246.469,1867,0,,0,0,0,"50/50 status ok; max handler time 17246469 ns"
ck-phdr-unwind,safety,fail,,,,,,,,0,0,0,"libunwind runs inside signal handler; PHDR/cache preflight does not prove async-signal-safety"
ob-kill60,build,pass,,,,,,,,0,0,0,"doris_be target build pass; build.sh packaging cp -p failure recorded"
ob-kill60,api-smoke,pass,1051,1051,,30.527,1864,0,,0,0,0,"5000ms all-thread ok; 4 signal_blocked; one-TID handler 30527 ns"
ob-kill60,offline-symbolization,pass,,,,,,,,0,0,0,"DSO offsets symbolize offline"
ob-kill60,repeat-dump-loop,hold,1051,1051,,,1848.4,15.7,,0,0,0,"50 curl successes; 27 ok and 23 timeout root statuses at 1000ms"
ob-kill60,safety,fail,,,,,,,,0,0,0,"handler uses libunwind to collect PCs; not proven async-signal-safe"
snapshot-remote-unwind,build,pass,,,,,,,,0,0,0,"doris_be target build pass; build.sh packaging cp -p failure recorded"
snapshot-remote-unwind,api-smoke,hold,4175,4185,,,1863,4,1,0,0,0,"all-thread root timeout; 4 signal_blocked; max frame depth 1"
snapshot-remote-unwind,no-symbol-check,pass,,,,,,,,0,0,0,"API JSON contains raw PCs and DSO offsets only"
snapshot-remote-unwind,stack-bytes-comparison,fail,4185,4185,,,1863,4,1,0,0,0,"8KiB and 64KiB both max depth 1; 0 multi-frame threads"
snapshot-remote-unwind,safety,pass,,,,,,,,0,0,0,"signal handler copies registers/stack only; no libunwind/allocation/logging/locks in handler"
snapshot-remote-unwind,frame-usefulness,fail,,,,,,,,0,0,0,"thirdparty libunwind remote create_addr_space is stubbed; fallback only returns interrupted PC"
