iter,http_code,curl_time_ms,status,elapsed_ms,threads_ok,threads_signal_blocked,threads_timeout,median_frames,max_handler_ns
"1","200","40","ok",31,1867,4,0,3,9999
"2","200","46","ok",34,1867,4,0,3,10780
"3","200","44","ok",33,1865,4,0,3,3987
"4","200","38","ok",29,1865,4,0,3,6983
"5","200","37","ok",29,1865,4,0,3,5620
"6","200","37","ok",29,1865,4,0,3,4829
"7","200","37","ok",29,1865,4,0,3,17553
"8","200","41","ok",32,1865,4,0,3,4859
"9","200","36","ok",28,1865,4,0,3,6763
"10","200","35","ok",27,1865,4,0,3,16531
"11","200","36","ok",28,1865,4,0,3,1744
"12","200","36","ok",28,1865,4,0,3,7815
"13","200","35","ok",28,1865,4,0,3,12193
"14","200","36","ok",28,1865,4,0,3,12824
"15","200","36","ok",28,1865,4,0,3,6873
"16","200","40","ok",31,1865,4,0,3,4609
"17","200","36","ok",28,1865,4,0,3,4408
"18","200","36","ok",28,1865,4,0,3,10880
"19","200","36","ok",28,1865,4,0,3,2364
"20","200","37","ok",28,1865,4,0,3,9358
"21","200","36","ok",28,1865,4,0,3,5831
"22","200","36","ok",28,1865,4,0,3,6382
"23","200","35","ok",27,1865,4,0,3,2044
"24","200","35","ok",27,1865,4,0,3,2254
"25","200","35","ok",28,1865,4,0,3,2925
"26","200","35","ok",27,1865,4,0,3,8626
"27","200","35","ok",27,1865,4,0,3,1944
"28","200","36","ok",28,1865,4,0,3,12774
"29","200","37","ok",29,1865,4,0,3,10380
"30","200","37","ok",29,1865,4,0,3,6913
"31","200","36","ok",28,1865,4,0,3,12173
"32","200","36","ok",28,1865,4,0,3,6903
"33","200","36","ok",28,1865,4,0,3,6713
"34","200","36","ok",28,1865,4,0,3,4428
"35","200","36","ok",28,1865,4,0,3,4709
"36","200","41","ok",32,1865,4,0,3,12984
"37","200","38","ok",29,1865,4,0,3,8005
"38","200","43","ok",33,1865,4,0,3,17703
"39","200","39","ok",31,1865,4,0,3,16741
"40","200","38","ok",30,1865,4,0,3,13976
"41","200","36","ok",28,1865,4,0,3,3958
"42","200","36","ok",28,1865,4,0,3,3747
"43","200","36","ok",28,1865,4,0,3,8897
"44","200","37","ok",29,1865,4,0,3,4007
"45","200","37","ok",29,1865,4,0,3,9928
"46","200","37","ok",29,1865,4,0,3,2124
"47","200","35","ok",27,1865,4,0,3,17212
"48","200","34","ok",27,1865,4,0,3,7053
"49","200","35","ok",27,1865,4,0,3,7133
"50","200","36","ok",28,1865,4,0,3,6452
