iter,curl_rc,duration_ms,status,thread_count,ok_count,timeout_count,signal_blocked_count,skipped_self_count,doris_frame_count,error_reason
1,0,1050,timeout,1871,1775,91,4,1,4929,
2,0,1047,timeout,1871,1840,26,4,1,5158,
3,0,1043,timeout,1871,1856,10,4,1,5206,
4,0,1040,timeout,1869,1841,23,4,1,5144,
5,0,1018,timeout,1869,1858,6,4,1,5213,
6,0,1040,timeout,1869,1858,6,4,1,5212,
7,0,827,ok,1869,1864,0,4,1,5230,
8,0,1048,timeout,1869,1763,101,4,1,4913,
9,0,1044,timeout,1869,1857,7,4,1,5209,
10,0,1047,timeout,1869,1841,23,4,1,5161,
11,0,1020,ok,1869,1864,0,4,1,5231,
12,0,910,ok,1869,1864,0,4,1,5230,
13,0,508,ok,1869,1864,0,4,1,5230,
14,0,888,ok,1869,1864,0,4,1,5230,
15,0,1046,timeout,1869,1849,15,4,1,5170,
16,0,1045,ok,1869,1864,0,4,1,5230,
17,0,966,ok,1869,1864,0,4,1,5230,
18,0,1018,timeout,1869,1831,33,4,1,5097,
19,0,1048,ok,1869,1864,0,4,1,5231,
20,0,1051,timeout,1869,1853,11,4,1,5774,
21,0,884,ok,1869,1864,0,4,1,5230,
22,0,1042,ok,1869,1864,0,4,1,5230,
23,0,749,ok,1869,1864,0,4,1,5230,
24,0,1040,ok,1869,1864,0,4,1,5230,
25,0,946,ok,1869,1864,0,4,1,5231,
26,0,1041,timeout,1869,1842,22,4,1,5150,
27,0,1021,timeout,1869,1702,162,4,1,4666,
28,0,598,ok,1869,1864,0,4,1,5231,
29,0,1044,ok,1869,1864,0,4,1,5230,
30,0,1042,ok,1869,1864,0,4,1,5224,
31,0,774,ok,1869,1864,0,4,1,5231,
32,0,1042,timeout,1869,1847,17,4,1,5179,
33,0,918,ok,1869,1864,0,4,1,5230,
34,0,1046,timeout,1869,1738,126,4,1,4786,
35,0,1041,timeout,1869,1845,19,4,1,5154,
36,0,1043,ok,1869,1864,0,4,1,5230,
37,0,1041,ok,1869,1864,0,4,1,5231,
38,0,1042,timeout,1869,1842,22,4,1,5149,
39,0,1047,timeout,1869,1862,2,4,1,5225,
40,0,1046,timeout,1869,1846,18,4,1,5165,
41,0,988,ok,1869,1864,0,4,1,5230,
42,0,1049,timeout,1869,1856,8,4,1,5200,
43,0,1046,ok,1869,1864,0,4,1,5230,
44,0,649,ok,1869,1864,0,4,1,5230,
45,0,1040,timeout,1869,1850,14,4,1,5188,
46,0,1044,ok,1869,1864,0,4,1,5230,
47,0,1034,timeout,1869,1842,22,4,1,5147,
48,0,1013,ok,1869,1864,0,4,1,5230,
49,0,576,ok,1869,1864,0,4,1,5229,
50,0,959,ok,1869,1864,0,4,1,5229,
