kind,iteration,status,elapsed_ms,threads,ok,multi_frame,max_frames
one-tid,1,ok,8,1,1,0,1
one-tid,2,ok,7,1,1,0,1
one-tid,3,ok,6,1,1,0,1
one-tid,4,ok,8,1,1,0,1
one-tid,5,ok,7,1,1,0,1
one-tid,6,ok,6,1,1,0,1
one-tid,7,ok,8,1,1,0,1
one-tid,8,ok,9,1,1,0,1
one-tid,9,ok,8,1,1,0,1
one-tid,10,ok,8,1,1,0,1
one-tid,11,ok,8,1,1,0,1
one-tid,12,ok,7,1,1,0,1
one-tid,13,ok,7,1,1,0,1
one-tid,14,ok,7,1,1,0,1
one-tid,15,ok,7,1,1,0,1
one-tid,16,ok,8,1,1,0,1
one-tid,17,ok,7,1,1,0,1
one-tid,18,ok,7,1,1,0,1
one-tid,19,ok,7,1,1,0,1
one-tid,20,ok,7,1,1,0,1
all-threads,1,timeout,4127,1871,1863,0,1
all-threads,2,timeout,4117,1871,1864,0,1
all-threads,3,timeout,4175,1871,1863,0,1
all-threads,4,timeout,4083,1869,1861,0,1
all-threads,5,timeout,4099,1869,1861,0,1
