impl,workload,thread_count,copy_bytes,iter,e2e_ns,pause_p50_ns,pause_p99_ns,dispatch_p50_ns,dispatch_p99_ns,ok_count,truncated_count,timed_out_count,unregistered_count,error_count
kill60,idle,4,8192,0,243676,6211,6943,4068,4278,4,0,0,0,0
kill60,idle,4,8192,1,248375,6532,7153,5030,5410,4,0,0,0,0
kill60,idle,4,8192,2,247544,6262,6913,4067,4499,4,0,0,0,0
kill60,idle,4,8192,3,246612,7253,7735,3967,4067,4,0,0,0,0
kill60,idle,4,8192,4,262221,6732,7264,4018,4107,4,0,0,0,0
kill60,idle,4,8192,5,248115,6292,6713,4348,4358,4,0,0,0,0
kill60,idle,4,8192,6,247053,5791,5821,3987,4047,4,0,0,0,0
kill60,idle,4,8192,7,246942,5691,6713,3967,4158,4,0,0,0,0
kill60,idle,4,8192,8,243276,6011,7924,3978,4128,4,0,0,0,0
kill60,idle,4,8192,9,247093,6252,7074,4107,4278,4,0,0,0,0
kill60,idle,4,8192,10,247153,7695,7935,4087,4168,4,0,0,0,0
kill60,idle,4,8192,11,247423,5911,6532,4017,4048,4,0,0,0,0
kill60,idle,4,8192,12,249226,7694,7834,3968,4028,4,0,0,0,0
kill60,idle,4,8192,13,247413,6732,6733,4658,4789,4,0,0,0,0
kill60,idle,4,8192,14,247804,5571,6573,4108,4187,4,0,0,0,0
kill60,idle,4,8192,15,247764,6643,6803,4007,4458,4,0,0,0,0
kill60,idle,4,8192,16,250449,6823,7314,4207,4448,4,0,0,0,0
kill60,idle,4,8192,17,248977,5350,7404,4909,5360,4,0,0,0,0
kill60,idle,4,8192,18,248395,6062,6252,4278,4338,4,0,0,0,0
kill60,idle,4,8192,19,239989,6743,7013,4047,4338,4,0,0,0,0
kill60,idle,4,8192,20,250318,6613,6793,4018,4068,4,0,0,0,0
kill60,idle,4,8192,21,248055,9147,9268,5160,5170,4,0,0,0,0
kill60,idle,4,8192,22,454892,6302,7044,4027,4057,4,0,0,0,0
kill60,idle,4,8192,23,345417,6873,7364,4979,5660,4,0,0,0,0
kill60,idle,4,8192,24,274925,8205,8837,4959,5440,4,0,0,0,0
kill60,idle,4,8192,25,269124,7955,11201,5060,5390,4,0,0,0,0
